station,valid,drct,sknt
ARB,2025-09-03 06:23,0.00,0.00
ARB,2025-09-03 06:35,0.00,0.00
ARB,2025-09-03 06:43,0.00,0.00
ARB,2025-09-03 06:53,0.00,0.00
ARB,2025-09-03 07:53,0.00,0.00
ARB,2025-09-03 08:06,0.00,0.00
ARB,2025-09-03 08:15,0.00,0.00
ARB,2025-09-03 08:23,0.00,0.00
ARB,2025-09-03 08:28,0.00,0.00
ARB,2025-09-03 08:38,0.00,0.00
ARB,2025-09-03 08:50,0.00,0.00
ARB,2025-09-03 08:53,0.00,0.00
ARB,2025-09-03 08:58,0.00,0.00
ARB,2025-09-03 09:09,0.00,0.00
ARB,2025-09-03 09:17,0.00,0.00
ARB,2025-09-03 09:31,0.00,0.00
ARB,2025-09-03 09:38,0.00,0.00
ARB,2025-09-03 09:53,0.00,0.00
ARB,2025-09-03 09:59,0.00,0.00
ARB,2025-09-03 10:06,0.00,0.00
ARB,2025-09-03 10:10,0.00,0.00
ARB,2025-09-03 10:17,0.00,0.00
ARB,2025-09-03 10:38,0.00,0.00
ARB,2025-09-03 10:45,0.00,0.00
ARB,2025-09-03 10:53,260.00,3.00
ARB,2025-09-03 10:56,260.00,3.00
ARB,2025-09-03 11:06,240.00,3.00
ARB,2025-09-03 11:19,0.00,0.00
ARB,2025-09-03 11:22,0.00,0.00
ARB,2025-09-03 11:31,0.00,0.00
ARB,2025-09-03 11:38,0.00,0.00
ARB,2025-09-03 11:53,250.00,3.00
ARB,2025-09-03 12:53,0.00,0.00
ARB,2025-09-03 13:53,190.00,5.00
ARB,2025-09-03 14:53,180.00,8.00
ARB,2025-09-03 15:53,220.00,8.00
ARB,2025-09-03 16:53,220.00,13.00
ARB,2025-09-03 17:53,210.00,13.00
ARB,2025-09-03 18:53,220.00,11.00
ARB,2025-09-03 19:53,220.00,11.00
ARB,2025-09-03 20:53,240.00,8.00
ARB,2025-09-03 21:53,280.00,18.00
ARB,2025-09-03 22:53,260.00,12.00
ARB,2025-09-03 23:53,250.00,5.00
ARB,2025-09-04 00:53,230.00,5.00
ARB,2025-09-04 01:53,190.00,4.00
ARB,2025-09-04 02:53,270.00,8.00
ARB,2025-09-04 03:39,320.00,4.00
ARB,2025-09-04 03:48,330.00,7.00
ARB,2025-09-04 03:53,320.00,6.00
ARB,2025-09-04 04:53,0.00,0.00
ARB,2025-09-04 05:53,0.00,0.00
ARB,2025-09-04 06:53,200.00,3.00
ARB,2025-09-04 07:42,220.00,3.00
ARB,2025-09-04 07:53,0.00,0.00
ARB,2025-09-04 08:32,0.00,0.00
ARB,2025-09-04 08:53,20.00,6.00
ARB,2025-09-04 09:05,350.00,7.00
ARB,2025-09-04 09:12,360.00,7.00
ARB,2025-09-04 09:22,340.00,6.00
ARB,2025-09-04 09:53,340.00,5.00
ARB,2025-09-04 10:03,330.00,6.00
ARB,2025-09-04 10:53,350.00,7.00
ARB,2025-09-04 11:00,340.00,6.00
ARB,2025-09-04 11:05,340.00,6.00
ARB,2025-09-04 11:23,340.00,9.00
ARB,2025-09-04 11:53,350.00,7.00
ARB,2025-09-04 12:53,350.00,6.00
ARB,2025-09-04 13:53,10.00,7.00
ARB,2025-09-04 14:53,310.00,5.00
ARB,2025-09-04 15:53,280.00,4.00
ARB,2025-09-04 16:53,280.00,8.00
ARB,2025-09-04 17:53,270.00,7.00
ARB,2025-09-04 18:48,270.00,10.00
ARB,2025-09-04 18:53,290.00,10.00
ARB,2025-09-04 19:53,230.00,9.00
ARB,2025-09-04 20:53,290.00,10.00
ARB,2025-09-04 21:53,220.00,7.00
ARB,2025-09-04 22:53,230.00,6.00
ARB,2025-09-04 23:53,250.00,4.00
ARB,2025-09-05 00:53,250.00,3.00
ARB,2025-09-05 01:53,270.00,4.00
ARB,2025-09-05 02:53,0.00,0.00
ARB,2025-09-05 03:53,0.00,0.00
ARB,2025-09-05 04:30,0.00,0.00
ARB,2025-09-05 04:42,0.00,0.00
ARB,2025-09-05 04:47,0.00,0.00
ARB,2025-09-05 04:49,0.00,0.00
ARB,2025-09-05 04:53,0.00,0.00
ARB,2025-09-05 05:16,0.00,0.00
ARB,2025-09-05 05:26,0.00,0.00
ARB,2025-09-05 05:35,0.00,0.00
ARB,2025-09-05 05:45,0.00,0.00
ARB,2025-09-05 05:53,0.00,0.00
ARB,2025-09-05 05:58,0.00,0.00
ARB,2025-09-05 06:05,0.00,0.00
ARB,2025-09-05 06:25,0.00,0.00
ARB,2025-09-05 06:32,0.00,0.00
ARB,2025-09-05 06:47,0.00,0.00
ARB,2025-09-05 06:53,0.00,0.00
ARB,2025-09-05 07:02,0.00,0.00
ARB,2025-09-05 07:11,160.00,3.00
ARB,2025-09-05 07:53,170.00,4.00
ARB,2025-09-05 08:53,200.00,3.00
ARB,2025-09-05 09:53,200.00,6.00
ARB,2025-09-05 10:53,200.00,6.00
ARB,2025-09-05 11:53,190.00,8.00
ARB,2025-09-05 12:53,200.00,8.00
ARB,2025-09-05 13:53,220.00,15.00
ARB,2025-09-05 14:53,230.00,18.00
ARB,2025-09-05 15:53,230.00,13.00
ARB,2025-09-05 16:53,240.00,20.00
ARB,2025-09-05 17:53,240.00,19.00
ARB,2025-09-05 18:53,250.00,15.00
ARB,2025-09-05 19:53,260.00,18.00
ARB,2025-09-05 20:53,260.00,13.00
ARB,2025-09-05 21:53,260.00,16.00
ARB,2025-09-05 22:53,250.00,11.00
ARB,2025-09-05 23:53,290.00,7.00
ARB,2025-09-06 00:53,290.00,6.00
ARB,2025-09-06 01:53,220.00,3.00
ARB,2025-09-06 02:53,0.00,0.00
ARB,2025-09-06 03:53,0.00,0.00
ARB,2025-09-06 04:53,0.00,0.00
ARB,2025-09-06 05:14,0.00,0.00
ARB,2025-09-06 05:16,0.00,0.00
ARB,2025-09-06 05:30,0.00,0.00
ARB,2025-09-06 05:37,0.00,0.00
ARB,2025-09-06 05:53,0.00,0.00
